Tanggal,Hujan,,,,
1-Jan-95,21.0,,,, 
2-Jan-95,1.0,,,, 
3-Jan-95,0.0,,,, 
4-Jan-95,0.0,,,, 
5-Jan-95,20.0,,,, 
6-Jan-95,0.0,,,, 
7-Jan-95,3.0,,,, 
8-Jan-95,62.0,,,, 
9-Jan-95,0.0,,,, 
10-Jan-95,33.0,,,, 
11-Jan-95,0.0,,,, 
12-Jan-95,45.0,,,, 
13-Jan-95,0.0,,,, 
14-Jan-95,25.0,,,, 
15-Jan-95,24.0,,,, 
16-Jan-95,18.0,,,, 
17-Jan-95,10.0,,,, 
18-Jan-95,21.0,,,, 
19-Jan-95,14.0,,,, 
20-Jan-95,9.0,,,, 
21-Jan-95,2.0,,,, 
22-Jan-95,0.0,,,, 
23-Jan-95,0.0,,,, 
24-Jan-95,22.0,,,, 
25-Jan-95,22.0,,,, 
26-Jan-95,3.0,,,, 
27-Jan-95,0.0,,,, 
28-Jan-95,0.0,,,, 
29-Jan-95,4.0,,,, 
30-Jan-95,7.0,,,, 
31-Jan-95,7.0,,,, 
1-Feb-95,0.0,,,, 
2-Feb-95,0.0,,,, 
3-Feb-95,30.0,,,, 
4-Feb-95,2.0,,,, 
5-Feb-95,27.0,,,, 
6-Feb-95,51.0,,,, 
7-Feb-95,35.0,,,, 
8-Feb-95,12.0,,,, 
9-Feb-95,27.0,,,, 
10-Feb-95,11.0,,,, 
11-Feb-95,34.0,,,, 
12-Feb-95,3.0,,,, 
13-Feb-95,13.0,,,, 
14-Feb-95,0.0,,,, 
15-Feb-95,0.0,,,, 
16-Feb-95,0.0,,,, 
17-Feb-95,0.0,,,, 
18-Feb-95,4.0,,,, 
19-Feb-95,0.0,,,, 
20-Feb-95,2.0,,,, 
21-Feb-95,0.0,,,, 
22-Feb-95,0.0,,,, 
23-Feb-95,0.0,,,, 
24-Feb-95,0.0,,,, 
25-Feb-95,25.0,,,, 
26-Feb-95,0.0,,,, 
27-Feb-95,0.0,,,, 
28-Feb-95,0.0,,,, 
1-Mar-95,29.0,,,, 
2-Mar-95,55.0,,,, 
3-Mar-95,14.0,,,, 
4-Mar-95,5.0,,,, 
5-Mar-95,4.0,,,, 
6-Mar-95,17.0,,,, 
7-Mar-95,0.0,,,, 
8-Mar-95,0.0,,,, 
9-Mar-95,0.0,,,, 
10-Mar-95,0.0,,,, 
11-Mar-95,0.0,,,, 
12-Mar-95,0.0,,,, 
13-Mar-95,0.0,,,, 
14-Mar-95,5.0,,,, 
15-Mar-95,10.0,,,, 
16-Mar-95,3.0,,,, 
17-Mar-95,2.0,,,, 
18-Mar-95,2.0,,,, 
19-Mar-95,3.0,,,, 
20-Mar-95,7.0,,,, 
21-Mar-95,7.0,,,, 
22-Mar-95,15.0,,,, 
23-Mar-95,13.0,,,, 
24-Mar-95,0.0,,,, 
25-Mar-95,35.0,,,, 
26-Mar-95,40.0,,,, 
27-Mar-95,7.0,,,, 
28-Mar-95,7.0,,,, 
29-Mar-95,4.0,,,, 
30-Mar-95,0.0,,,, 
31-Mar-95,0.0,,,, 
1-Apr-95,0.0,,,, 
2-Apr-95,25.0,,,, 
3-Apr-95,0.0,,,, 
4-Apr-95,16.0,,,, 
5-Apr-95,6.0,,,, 
6-Apr-95,0.0,,,, 
7-Apr-95,6.0,,,, 
8-Apr-95,17.0,,,, 
9-Apr-95,6.0,,,, 
10-Apr-95,0.0,,,, 
11-Apr-95,0.0,,,, 
12-Apr-95,0.0,,,, 
13-Apr-95,0.0,,,, 
14-Apr-95,15.0,,,, 
15-Apr-95,0.0,,,, 
16-Apr-95,0.0,,,, 
17-Apr-95,12.0,,,, 
18-Apr-95,47.0,,,, 
19-Apr-95,25.0,,,, 
20-Apr-95,12.0,,,, 
21-Apr-95,0.0,,,, 
22-Apr-95,5.0,,,, 
23-Apr-95,0.0,,,, 
24-Apr-95,0.0,,,, 
25-Apr-95,0.0,,,, 
26-Apr-95,0.0,,,, 
27-Apr-95,0.0,,,, 
28-Apr-95,0.0,,,, 
29-Apr-95,0.0,,,, 
30-Apr-95,0.0,,,, 
1-May-95,14.0,,,, 
2-May-95,19.0,,,, 
3-May-95,0.0,,,, 
4-May-95,0.0,,,, 
5-May-95,0.0,,,, 
6-May-95,0.0,,,, 
7-May-95,0.0,,,, 
8-May-95,0.0,,,, 
9-May-95,0.0,,,, 
10-May-95,0.0,,,, 
11-May-95,25.0,,,, 
12-May-95,0.0,,,, 
13-May-95,75.0,,,, 
14-May-95,0.0,,,, 
15-May-95,45.0,,,, 
16-May-95,0.0,,,, 
17-May-95,0.0,,,, 
18-May-95,0.0,,,, 
19-May-95,20.0,,,, 
20-May-95,0.0,,,, 
21-May-95,12.0,,,, 
